
Host: hartree

Guess       :       0.31u       0.00s       0.00w      1 call
Form G      :      48.66u       1.38s      54.00w     14 calls
JK: D       :       0.01u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     12 calls
JK: JK      :      48.64u       1.38s      54.00w     14 calls
JK: J       :       0.45u       0.00s       1.00w     13 calls
JK: J1      :       0.23u       0.00s       0.00w     13 calls
JK: J2      :       0.22u       0.00s       1.00w     13 calls
JK: K       :      47.49u       0.02s      45.00w     13 calls
JK: K1      :      23.33u       0.01s      20.00w     13 calls
JK: K2      :      24.16u       0.01s      25.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.13u       0.00s       0.00w     14 calls
Form C      :       0.32u       0.02s       0.00w     14 calls
Form D      :       0.02u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.01u       0.00s       0.00w     13 calls
DIISManager::extrapolate:       0.02u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.02u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 12:14:39 2013
Timers Off: Mon Dec 23 12:19:00 2013

Wall Time:      261.00 seconds

JK: (A|mn)  :       4.13u       0.01s       4.00w      1 call
JK: (A|Q)^-1/2:      15.44u       0.02s      16.00w      1 call
JK: (Q|mn)  :      24.80u       0.04s      26.00w      1 call
Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.01s       0.00w      1 call
Guess       :       0.31u       0.00s       0.00w      1 call
Form G      :      55.90u       1.02s      60.00w     14 calls
JK: D       :       0.01u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     12 calls
JK: JK      :      55.89u       1.02s      60.00w     14 calls
JK: J       :       0.46u       0.00s       0.00w     13 calls
JK: J1      :       0.24u       0.00s       0.00w     13 calls
JK: J2      :       0.22u       0.00s       0.00w     13 calls
JK: K       :      47.96u       0.01s      51.00w     13 calls
JK: K1      :      23.60u       0.01s      25.00w     13 calls
JK: K2      :      24.36u       0.00s      26.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.15u       0.03s       0.00w     14 calls
Form C      :       0.35u       0.02s       0.00w     14 calls
Form D      :       0.01u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     13 calls
DIISManager::extrapolate:       0.01u       0.01s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.01u       0.01s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 12:28:46 2013
