
Host: hartree

Timers On : Mon Dec 23 12:35:42 2013
Timers Off: Mon Dec 23 12:41:32 2013

Wall Time:      350.00 seconds

LSDA        :      57.92u       0.07s      61.00w  17568 calls
GGA         :       4.22u       0.00s       4.00w   8784 calls
V: AO2USO   :       0.00u       0.00s       0.00w     12 calls
JK: D       :       0.02u       0.00s       0.00w     12 calls
JK: JK      :      42.61u       2.77s      46.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     12 calls
DIIS        :       0.14u       0.00s       0.00w     12 calls
Form C      :       0.29u       0.03s       0.00w     12 calls
Form D      :       0.01u       0.00s       0.00w     12 calls
DIISManager::add_entry:       0.01u       0.00s       0.00w     11 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     10 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 18:23:42 2013
Timers Off: Mon Dec 23 21:33:56 2013

Wall Time:    11414.00 seconds

V: Grid     :     180.74u       0.11s     182.00w     32 calls
Form H      :       0.01u       0.00s      13.00w     16 calls
Form S/X    :       0.34u       0.01s       0.00w     16 calls
Guess       :       0.09u       0.02s       0.00w     16 calls
Form G      :    4646.53u      49.61s    4738.00w    205 calls
Form V      :    3914.00u       5.95s    3954.00w    205 calls
V: D        :       0.24u       0.00s       0.00w    205 calls
V: USO2AO   :       0.01u       0.01s       0.00w    205 calls
V: V        :    3913.73u       5.94s    3954.00w    205 calls
Properties  :    2354.78u       3.30s    2395.00w 161316 calls
Points      :    1249.79u       1.95s    1241.00w 161316 calls
Functional  :     758.89u       1.11s     749.00w 161316 calls
V_XC        :    1090.93u       2.00s    1119.00w 149643 calls
LSDA        :    1008.23u       1.83s    1037.00w 299286 calls
GGA         :      74.48u       0.15s      69.00w 149643 calls
V: AO2USO   :       0.00u       0.00s       0.00w    205 calls
JK: D       :       0.21u       0.00s       0.00w    205 calls
JK: JK      :     732.26u      43.66s     784.00w    205 calls
Form F      :       0.01u       0.00s       0.00w    205 calls
DIIS        :       2.51u       0.03s       0.00w    205 calls
DIISManager::add_entry:       0.09u       0.00s       0.00w    190 calls
Form C      :       4.86u       0.12s       8.00w    205 calls
Form D      :       0.24u       0.00s       0.00w    205 calls
DIISManager::extrapolate:       0.13u       0.02s       0.00w    174 calls
DIISManager::extrapolate: bMatrix setup:       0.08u       0.00s       0.00w    174 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s       0.00w    174 calls
DIISManager::extrapolate: form new data:       0.04u       0.02s       0.00w    174 calls
Grad: T     :       0.26u       0.00s       0.00w     16 calls
Grad: V     :      12.15u       0.00s      12.00w     16 calls
Grad: S     :       0.15u       0.00s       0.00w     16 calls
Grad: JK    :    3554.16u       2.78s    3577.00w     16 calls
Grad: XC    :     501.44u       0.66s     508.00w     16 calls

***********************************************************
